"","journal","pvalue","pubmedID","year","abstract","title"
"1","Lancet.8","0.01",10675115,2000,"For the surgical treatment of gastrooesophageal reflux disease (GORD), laparoscopic Nissen fundoplication has largely replaced the open procedure. Retrospective and prospective non-randomised studies have shown similar results after laparoscopic Nissen fundoplication compared with the open procedure.In a multicentre randomised trial candidates for surgical treatment of GORD were randomly assigned to either laparoscopic or open 360 degrees Nissen fundoplication. Primary endpoints were dysphagia, recurrent GORD, and intrathoracic hernia. Secondary endpoints were effectiveness and quality of life. This planned interim analysis focuses on endpoints and complications and in-hospital costs.At the time of interim analysis, 11 patients in the laparoscopic group and one in the conventional group had reached a primary endpoint (p=0.01; relative risk=8.8, 95% CI 1.2-66.3). This difference was caused mainly by whether or not patients had dysphagia (seven patients in the laparoscopic group and none in the conventional group, p=0.016).Although laparoscopic Nissen fundoplication was as effective as the open procedure in controlling reflux, the significantly higher risk of reaching a primary endpoint in the laparoscopic group led us to stop the study.","Laparoscopic or conventional Nissen fundoplication for gastro-oesophageal reflux disease: randomised clinical trial. The Netherlands Antireflux Surgery Study Group."
"2","JAMA.31","NA",10770148,2000,"Health plan utilization review rules are intended to enforce insurance contracts and can alter and constrain the services that physicians provide to their patients. Physicians can manipulate these rules, but how often they do so is unknown.To determine the frequency with which physicians manipulate reimbursement rules to obtain coverage for services they perceive as necessary, and the physician attitudes and personal and practice characteristics associated with these manipulations.A random national sample of 1124 practicing physicians was surveyed by mail in 1998; the response rate was 64% (n = 720).Use of 3 different tactics ""sometimes"" or more often in the last year: (1) exaggerating the severity of patients' conditions; (2) changing patients' billing diagnoses; and/or (3) reporting signs or symptoms that patients did not have to help the patients secure coverage for needed care.Thirty-nine percent of physicians reported using at least 1 tactic ""sometimes"" or more often in the last year. In multivariate models comparing these physicians with physicians who ""never"" or ""rarely"" used any of these tactics, physicians using these tactics were more likely to (1) believe that ""gaming the system"" is necessary to provide high-quality care today (odds ratio [OR], 3.67; 95% confidence interval [CI], 2.54-5.29); (2) have received requests from patients to deceive insurers (OR, 2.44; 95% CI, 1.72-3.45); (3) feel pressed for time during patient visits (OR, 1.69; 95% CI, 1.21-2.37); and (4) have more than 25% of their patients covered by Medicaid (OR, 1.60; 95% CI, 1.08-2.38). Notably, greater worry about prosecution for fraud did not affect physicians' use of these tactics (P = .34). Of those reporting using these tactics, 54% reported doing so more often now than 5 years ago.A sizable minority of physicians report manipulating reimbursement rules so patients can receive care that physicians perceive is necessary. Unless novel strategies are developed to address this, greater utilization restrictions in the health care system are likely to increase physicians' use of such manipulative ""covert advocacy"" tactics.","Physician manipulation of reimbursement rules for patients: between a rock and a hard place."
"3","JAMA.31","NA",10770148,2000,"Health plan utilization review rules are intended to enforce insurance contracts and can alter and constrain the services that physicians provide to their patients. Physicians can manipulate these rules, but how often they do so is unknown.To determine the frequency with which physicians manipulate reimbursement rules to obtain coverage for services they perceive as necessary, and the physician attitudes and personal and practice characteristics associated with these manipulations.A random national sample of 1124 practicing physicians was surveyed by mail in 1998; the response rate was 64% (n = 720).Use of 3 different tactics ""sometimes"" or more often in the last year: (1) exaggerating the severity of patients' conditions; (2) changing patients' billing diagnoses; and/or (3) reporting signs or symptoms that patients did not have to help the patients secure coverage for needed care.Thirty-nine percent of physicians reported using at least 1 tactic ""sometimes"" or more often in the last year. In multivariate models comparing these physicians with physicians who ""never"" or ""rarely"" used any of these tactics, physicians using these tactics were more likely to (1) believe that ""gaming the system"" is necessary to provide high-quality care today (odds ratio [OR], 3.67; 95% confidence interval [CI], 2.54-5.29); (2) have received requests from patients to deceive insurers (OR, 2.44; 95% CI, 1.72-3.45); (3) feel pressed for time during patient visits (OR, 1.69; 95% CI, 1.21-2.37); and (4) have more than 25% of their patients covered by Medicaid (OR, 1.60; 95% CI, 1.08-2.38). Notably, greater worry about prosecution for fraud did not affect physicians' use of these tactics (P = .34). Of those reporting using these tactics, 54% reported doing so more often now than 5 years ago.A sizable minority of physicians report manipulating reimbursement rules so patients can receive care that physicians perceive is necessary. Unless novel strategies are developed to address this, greater utilization restrictions in the health care system are likely to increase physicians' use of such manipulative ""covert advocacy"" tactics.","Physician manipulation of reimbursement rules for patients: between a rock and a hard place."
"4","JAMA.31","NA",10770148,2000,"Health plan utilization review rules are intended to enforce insurance contracts and can alter and constrain the services that physicians provide to their patients. Physicians can manipulate these rules, but how often they do so is unknown.To determine the frequency with which physicians manipulate reimbursement rules to obtain coverage for services they perceive as necessary, and the physician attitudes and personal and practice characteristics associated with these manipulations.A random national sample of 1124 practicing physicians was surveyed by mail in 1998; the response rate was 64% (n = 720).Use of 3 different tactics ""sometimes"" or more often in the last year: (1) exaggerating the severity of patients' conditions; (2) changing patients' billing diagnoses; and/or (3) reporting signs or symptoms that patients did not have to help the patients secure coverage for needed care.Thirty-nine percent of physicians reported using at least 1 tactic ""sometimes"" or more often in the last year. In multivariate models comparing these physicians with physicians who ""never"" or ""rarely"" used any of these tactics, physicians using these tactics were more likely to (1) believe that ""gaming the system"" is necessary to provide high-quality care today (odds ratio [OR], 3.67; 95% confidence interval [CI], 2.54-5.29); (2) have received requests from patients to deceive insurers (OR, 2.44; 95% CI, 1.72-3.45); (3) feel pressed for time during patient visits (OR, 1.69; 95% CI, 1.21-2.37); and (4) have more than 25% of their patients covered by Medicaid (OR, 1.60; 95% CI, 1.08-2.38). Notably, greater worry about prosecution for fraud did not affect physicians' use of these tactics (P = .34). Of those reporting using these tactics, 54% reported doing so more often now than 5 years ago.A sizable minority of physicians report manipulating reimbursement rules so patients can receive care that physicians perceive is necessary. Unless novel strategies are developed to address this, greater utilization restrictions in the health care system are likely to increase physicians' use of such manipulative ""covert advocacy"" tactics.","Physician manipulation of reimbursement rules for patients: between a rock and a hard place."
"5","JAMA.31","NA",10770148,2000,"Health plan utilization review rules are intended to enforce insurance contracts and can alter and constrain the services that physicians provide to their patients. Physicians can manipulate these rules, but how often they do so is unknown.To determine the frequency with which physicians manipulate reimbursement rules to obtain coverage for services they perceive as necessary, and the physician attitudes and personal and practice characteristics associated with these manipulations.A random national sample of 1124 practicing physicians was surveyed by mail in 1998; the response rate was 64% (n = 720).Use of 3 different tactics ""sometimes"" or more often in the last year: (1) exaggerating the severity of patients' conditions; (2) changing patients' billing diagnoses; and/or (3) reporting signs or symptoms that patients did not have to help the patients secure coverage for needed care.Thirty-nine percent of physicians reported using at least 1 tactic ""sometimes"" or more often in the last year. In multivariate models comparing these physicians with physicians who ""never"" or ""rarely"" used any of these tactics, physicians using these tactics were more likely to (1) believe that ""gaming the system"" is necessary to provide high-quality care today (odds ratio [OR], 3.67; 95% confidence interval [CI], 2.54-5.29); (2) have received requests from patients to deceive insurers (OR, 2.44; 95% CI, 1.72-3.45); (3) feel pressed for time during patient visits (OR, 1.69; 95% CI, 1.21-2.37); and (4) have more than 25% of their patients covered by Medicaid (OR, 1.60; 95% CI, 1.08-2.38). Notably, greater worry about prosecution for fraud did not affect physicians' use of these tactics (P = .34). Of those reporting using these tactics, 54% reported doing so more often now than 5 years ago.A sizable minority of physicians report manipulating reimbursement rules so patients can receive care that physicians perceive is necessary. Unless novel strategies are developed to address this, greater utilization restrictions in the health care system are likely to increase physicians' use of such manipulative ""covert advocacy"" tactics.","Physician manipulation of reimbursement rules for patients: between a rock and a hard place."
"6","JAMA.11","0.001",10819949,2000,"Multidrug-resistant Salmonella serotype Typhi infections have been reported worldwide, but data on the incidence of resistant strains in the United States are lacking.To determine the incidence of antimicrobial-resistant Salmonella Typhi infections and to identify risk factors for infection.Cross-sectional laboratory-based surveillance study.A total of 293 persons with symptomatic typhoid fever who had Salmonella Typhi isolates and epidemiological information submitted to US public health departments and laboratories from June 1, 1996, to May 31, 1997.Proportion of Salmonella Typhi isolates demonstrating resistance to 12 antimicrobial agents; patient epidemiological factors associated with drug-resistant infections.Median age was 21 years (range, 3 months to 84 years); 56% were male. Two hundred twenty-eight (80%) were hospitalized; 2 died. In the 6 weeks before illness onset, 81% of patients had traveled abroad. Seventy-four Salmonella Typhi isolates (25%) were resistant to 1 or more antimicrobial agent, and 51 (17%) were resistant to 5 or more agents, including ampicillin, chloramphenicol, and trimethoprim-sulfamethoxazole (multidrug-resistant Salmonella Typhi [MDRST]). Although no resistance to ciprofloxacin or ceftriaxone was observed, 20 isolates (7%) were nalidixic acid-resistant (NARST). Patients with MDRST and NARST infections were more likely to report travel outside the United States, particularly to the Indian subcontinent (Bangladesh, India, and Pakistan) (odds ratio [OR], 29.3; 95% confidence interval [CI], 6.8-126.7; P<.001 and OR, 35.9; 95% CI, 3.4-377.3; P<.001, respectively).Our data suggest that ciprofloxacin and ceftriaxone are appropriate empirical therapy for suspected typhoid fever; however, resistance may be anticipated. Continued monitoring of antimicrobial resistance among Salmonella Typhi strains will help determine vaccination and treatment policies. JAMA. 2000;283:2668-2673.","Laboratory-based surveillance of Salmonella serotype Typhi infections in the United States: antimicrobial resistance on the rise."
"7","JAMA.12","0.001",10819949,2000,"Multidrug-resistant Salmonella serotype Typhi infections have been reported worldwide, but data on the incidence of resistant strains in the United States are lacking.To determine the incidence of antimicrobial-resistant Salmonella Typhi infections and to identify risk factors for infection.Cross-sectional laboratory-based surveillance study.A total of 293 persons with symptomatic typhoid fever who had Salmonella Typhi isolates and epidemiological information submitted to US public health departments and laboratories from June 1, 1996, to May 31, 1997.Proportion of Salmonella Typhi isolates demonstrating resistance to 12 antimicrobial agents; patient epidemiological factors associated with drug-resistant infections.Median age was 21 years (range, 3 months to 84 years); 56% were male. Two hundred twenty-eight (80%) were hospitalized; 2 died. In the 6 weeks before illness onset, 81% of patients had traveled abroad. Seventy-four Salmonella Typhi isolates (25%) were resistant to 1 or more antimicrobial agent, and 51 (17%) were resistant to 5 or more agents, including ampicillin, chloramphenicol, and trimethoprim-sulfamethoxazole (multidrug-resistant Salmonella Typhi [MDRST]). Although no resistance to ciprofloxacin or ceftriaxone was observed, 20 isolates (7%) were nalidixic acid-resistant (NARST). Patients with MDRST and NARST infections were more likely to report travel outside the United States, particularly to the Indian subcontinent (Bangladesh, India, and Pakistan) (odds ratio [OR], 29.3; 95% confidence interval [CI], 6.8-126.7; P<.001 and OR, 35.9; 95% CI, 3.4-377.3; P<.001, respectively).Our data suggest that ciprofloxacin and ceftriaxone are appropriate empirical therapy for suspected typhoid fever; however, resistance may be anticipated. Continued monitoring of antimicrobial resistance among Salmonella Typhi strains will help determine vaccination and treatment policies. JAMA. 2000;283:2668-2673.","Laboratory-based surveillance of Salmonella serotype Typhi infections in the United States: antimicrobial resistance on the rise."
"8","JAMA.10","NA",10838652,2000,"Approximately 10 million cars with automatic shoulder belt systems are currently in use in the United States. However, reports on the effectiveness of such restraints have yielded conflicting results.To determine the effectiveness of automatic shoulder belt systems in reducing the risk of injury and death among front-seat passenger vehicle occupants.Analysis of data collected from the 1993-1996 National Highway Traffic Safety Administration Crashworthiness Data System on front-seat occupants involved in 25,811 tow-away crashes of passenger cars, light trucks, vans, and sport utility vehicles.Death and serious injury to specific body areas by use of manual lap and shoulder belts, automatic shoulder belts with manual lap belts, or automatic shoulder belts without lap belts, compared with no restraint use.Use of automatic shoulder belts without lap belts was associated with a decrease in the risk of death vs no restraint use but was not statistically significant for all crashes (odds ratio [OR], 0.66; 95% confidence interval [CI], 0.42-1.06) or for frontal crashes (OR, 0.71; 95% CI, 0.38-1.35) after adjustment for occupant age, sex, vehicle year, air-bag deployment, estimated change in vehicle speed during the crash, and principal direction of force. This association was significantly weaker than the 86% lower risk observed for use of automatic shoulder belts with lap belts (OR, 0.14; 95% CI, 0.07-0.26 vs no restraint; P<.05). Use of automatic shoulder belts without lap belts was associated with an increased risk of serious chest (OR, 2.66; 95% CI, 1.11-6.35) and abdominal (OR, 2.06; 95% CI, 1.004-4.22) injuries for all crashes.These data indicate that improperly used automatic restraint systems may be less effective than properly used systems and are associated with an increased risk of serious chest and abdominal injuries. Given the continued widespread use of these automatic systems, educational programs may be warranted. JAMA. 2000;283:2826-2828","Effectiveness of automatic shoulder belt systems in motor vehicle crashes."
"9","JAMA.10","NA",10838652,2000,"Approximately 10 million cars with automatic shoulder belt systems are currently in use in the United States. However, reports on the effectiveness of such restraints have yielded conflicting results.To determine the effectiveness of automatic shoulder belt systems in reducing the risk of injury and death among front-seat passenger vehicle occupants.Analysis of data collected from the 1993-1996 National Highway Traffic Safety Administration Crashworthiness Data System on front-seat occupants involved in 25,811 tow-away crashes of passenger cars, light trucks, vans, and sport utility vehicles.Death and serious injury to specific body areas by use of manual lap and shoulder belts, automatic shoulder belts with manual lap belts, or automatic shoulder belts without lap belts, compared with no restraint use.Use of automatic shoulder belts without lap belts was associated with a decrease in the risk of death vs no restraint use but was not statistically significant for all crashes (odds ratio [OR], 0.66; 95% confidence interval [CI], 0.42-1.06) or for frontal crashes (OR, 0.71; 95% CI, 0.38-1.35) after adjustment for occupant age, sex, vehicle year, air-bag deployment, estimated change in vehicle speed during the crash, and principal direction of force. This association was significantly weaker than the 86% lower risk observed for use of automatic shoulder belts with lap belts (OR, 0.14; 95% CI, 0.07-0.26 vs no restraint; P<.05). Use of automatic shoulder belts without lap belts was associated with an increased risk of serious chest (OR, 2.66; 95% CI, 1.11-6.35) and abdominal (OR, 2.06; 95% CI, 1.004-4.22) injuries for all crashes.These data indicate that improperly used automatic restraint systems may be less effective than properly used systems and are associated with an increased risk of serious chest and abdominal injuries. Given the continued widespread use of these automatic systems, educational programs may be warranted. JAMA. 2000;283:2826-2828","Effectiveness of automatic shoulder belt systems in motor vehicle crashes."
"10","JAMA.10","0.05",10838652,2000,"Approximately 10 million cars with automatic shoulder belt systems are currently in use in the United States. However, reports on the effectiveness of such restraints have yielded conflicting results.To determine the effectiveness of automatic shoulder belt systems in reducing the risk of injury and death among front-seat passenger vehicle occupants.Analysis of data collected from the 1993-1996 National Highway Traffic Safety Administration Crashworthiness Data System on front-seat occupants involved in 25,811 tow-away crashes of passenger cars, light trucks, vans, and sport utility vehicles.Death and serious injury to specific body areas by use of manual lap and shoulder belts, automatic shoulder belts with manual lap belts, or automatic shoulder belts without lap belts, compared with no restraint use.Use of automatic shoulder belts without lap belts was associated with a decrease in the risk of death vs no restraint use but was not statistically significant for all crashes (odds ratio [OR], 0.66; 95% confidence interval [CI], 0.42-1.06) or for frontal crashes (OR, 0.71; 95% CI, 0.38-1.35) after adjustment for occupant age, sex, vehicle year, air-bag deployment, estimated change in vehicle speed during the crash, and principal direction of force. This association was significantly weaker than the 86% lower risk observed for use of automatic shoulder belts with lap belts (OR, 0.14; 95% CI, 0.07-0.26 vs no restraint; P<.05). Use of automatic shoulder belts without lap belts was associated with an increased risk of serious chest (OR, 2.66; 95% CI, 1.11-6.35) and abdominal (OR, 2.06; 95% CI, 1.004-4.22) injuries for all crashes.These data indicate that improperly used automatic restraint systems may be less effective than properly used systems and are associated with an increased risk of serious chest and abdominal injuries. Given the continued widespread use of these automatic systems, educational programs may be warranted. JAMA. 2000;283:2826-2828","Effectiveness of automatic shoulder belt systems in motor vehicle crashes."
